0.00	15.00	l
15.00	30.00	l
30.00	45.00	h
45.00	60.00	l
60.00	75.00	h
75.00	90.00	h
90.00	105.00	l
105.00	120.00	h
120.00	135.00	l
135.00	150.00	h
150.00	165.00	l
165.00	180.00	l
180.00	195.00	l
195.00	210.00	l
210.00	225.00	h
225.00	240.00	h
240.00	255.00	l
255.00	270.00	l
270.00	285.00	h
285.00	300.00	l
300.00	315.00	l
315.00	330.00	l
330.00	345.00	l
345.00	360.00	l
360.00	375.00	l
375.00	390.00	l
390.00	405.00	l
405.00	420.00	h
420.00	435.00	l
435.00	450.00	l
450.00	465.00	l
465.00	480.00	l
480.00	495.00	l
495.00	510.00	l
510.00	525.00	l
525.00	540.00	h
540.00	555.00	l
555.00	570.00	l
570.00	585.00	h
585.00	600.00	h
600.00	615.00	l
615.00	630.00	l
630.00	645.00	l
645.00	660.00	l
660.00	675.00	l
675.00	690.00	l
690.00	705.00	l
705.00	720.00	l
720.00	735.00	l
735.00	750.00	l
750.00	765.00	l
765.00	780.00	h
780.00	795.00	h
