9.461338	12.645658	l
14.834878	16.095338	l
16.427037	17.571723	h
34.009357	35.416641	m
42.124694	46.956368	m
50.568396	52.585503	m
57.839362	92.693090	h
103.576084	107.985573	l
108.501577	110.284137	l
111.738330	117.836560	m
123.465695	129.563924	m
135.849792	161.227809	m
174.831552	184.541810	l
186.042912	219.489356	m
233.421465	260.816589	m
266.258086	285.068779	m
290.463367	318.468313	l
324.543088	327.052744	h
331.157322	336.927185	m
340.562668	341.735405	m
346.426351	359.420271	m
363.583485	365.870321	m
371.241454	372.062370	h
379.696884	381.678809	m
386.791940	397.956391	m
400.149408	418.784677	m
427.870713	435.365452	l
437.278583	452.603352	m
453.411995	459.269725	m
459.979753	463.332663	h
488.203363	494.514722	l
499.149626	510.786195	m
520.730587	523.113063	h
528.990522	530.785315	h
543.467202	546.741220	h
567.206935	573.641914	l
582.929513	591.421032	m
596.562381	609.996230	l
610.394270	626.282698	m
642.602336	649.335845	l
653.953033	667.593780	m
671.707929	682.195520	m
685.040558	688.331877	m
693.770920	695.932592	m
712.905197	716.391763	m
723.364896	724.341134	l
